Periodo,Pioggia(mm)
01/01/2001,0.1
01/02/2001,3.8
01/03/2001,11.4
01/04/2001,15.6
01/05/2001,5.2
01/06/2001,15.8
01/07/2001,8.4
01/08/2001,0.0
01/09/2001,0.4
01/10/2001,3.8
01/11/2001,0.4
01/12/2001,10.2
01/13/2001,8.0
01/14/2001,0.0
01/15/2001,0.0
01/16/2001,0.0
01/17/2001,0.0
01/18/2001,4.0
01/19/2001,0.0
01/20/2001,0.0
01/21/2001,0.0
01/22/2001,1.0
01/23/2001,4.4
01/24/2001,19.0
01/25/2001,0.0
01/26/2001,0.0
01/27/2001,5.4
01/28/2001,0.0
01/29/2001,0.0
01/30/2001,0.0
01/31/2001,0.0
02/01/2001,0.0
02/02/2001,0.0
02/03/2001,0.2
02/04/2001,0.0
02/05/2001,0.2
02/06/2001,4.6
02/07/2001,2.2
02/08/2001,11.6
02/09/2001,0.6
02/10/2001,0.0
02/11/2001,0.0
02/12/2001,0.0
02/13/2001,0.0
02/14/2001,0.0
02/15/2001,0.0
02/16/2001,0.0
02/17/2001,0.0
02/18/2001,0.0
02/19/2001,0.0
02/20/2001,0.0
02/21/2001,0.0
02/22/2001,0.0
02/23/2001,0.2
02/24/2001,0.0
02/25/2001,0.0
02/26/2001,0.0
02/27/2001,1.0
02/28/2001,1.8
03/01/2001,0.0
03/02/2001,0.0
03/03/2001,2.4
03/04/2001,4.8
03/05/2001,1.0
03/06/2001,0.0
03/07/2001,0.0
03/08/2001,61.4
03/09/2001,10.6
03/10/2001,0.0
03/11/2001,0.0
03/12/2001,6.4
03/13/2001,5.6
03/14/2001,0.0
03/15/2001,0.0
03/16/2001,0.0
03/17/2001,38.2
03/18/2001,0.0
03/19/2001,0.0
03/20/2001,0.0
03/21/2001,0.6
03/22/2001,1.0
03/23/2001,0.0
03/24/2001,0.0
03/25/2001,0.0
03/26/2001,0.0
03/27/2001,0.0
03/28/2001,14.0
03/29/2001,15.4
03/30/2001,17.6
03/31/2001,0.0
04/01/2001,0.0
04/02/2001,0.2
04/03/2001,0.0
04/04/2001,0.0
04/05/2001,3.0
04/06/2001,0.0
04/07/2001,12.4
04/08/2001,0.2
04/09/2001,0.0
04/10/2001,0.0
04/11/2001,0.0
04/12/2001,0.0
04/13/2001,0.0
04/14/2001,0.0
04/15/2001,0.0
04/16/2001,4.5
04/17/2001,0.2
04/18/2001,0.6
04/19/2001,13.4
04/20/2001,9.6
04/21/2001,3.4
04/22/2001,0.0
04/23/2001,0.0
04/24/2001,0.0
04/25/2001,0.0
04/26/2001,0.0
04/27/2001,0.0
04/28/2001,0.0
04/29/2001,0.0
04/30/2001,0.8
05/01/2001,0.0
05/02/2001,0.0
05/03/2001,1.4
05/04/2001,26.6
05/05/2001,18.0
05/06/2001,3.8
05/07/2001,1.6
05/08/2001,13.4
05/09/2001,1.0
05/10/2001,1.4
05/11/2001,1.0
05/12/2001,0.0
05/13/2001,0.0
05/14/2001,0.2
05/15/2001,13.2
05/16/2001,10.6
05/17/2001,0.8
05/18/2001,0.0
05/19/2001,0.0
05/20/2001,0.0
05/21/2001,9.2
05/22/2001,0.0
05/23/2001,0.0
05/24/2001,0.6
05/25/2001,56.0
05/26/2001,0.0
05/27/2001,0.0
05/28/2001,0.0
05/29/2001,0.0
05/30/2001,0.0
05/31/2001,0.0
06/01/2001,0.0
06/02/2001,23.0
06/03/2001,0.6
06/04/2001,0.0
06/05/2001,0.0
06/06/2001,3.0
06/07/2001,0.0
06/08/2001,0.0
06/09/2001,0.2
06/10/2001,0.2
06/11/2001,3.6
06/12/2001,0.0
06/13/2001,0.0
06/14/2001,0.0
06/15/2001,0.0
06/16/2001,1.8
06/17/2001,12.4
06/18/2001,0.2
06/19/2001,0.0
06/20/2001,0.0
06/21/2001,0.0
06/22/2001,0.0
06/23/2001,0.0
06/24/2001,0.0
06/25/2001,0.0
06/26/2001,0.0
06/27/2001,0.0
06/28/2001,7.0
06/29/2001,0.0
06/30/2001,0.0
07/01/2001,0.0
07/02/2001,0.0
07/03/2001,0.0
07/04/2001,0.0
07/05/2001,0.0
07/06/2001,0.0
07/07/2001,5.6
07/08/2001,0.0
07/09/2001,0.0
07/10/2001,32.6
07/11/2001,0.2
07/12/2001,0.0
07/13/2001,2.8
07/14/2001,2.2
07/15/2001,17.2
07/16/2001,4.4
07/17/2001,1.2
07/18/2001,2.1
07/19/2001,15.2
07/20/2001,1.6
07/21/2001,0.0
07/22/2001,0.0
07/23/2001,0.0
07/24/2001,1.8
07/25/2001,0.0
07/26/2001,0.0
07/27/2001,0.0
07/28/2001,0.0
07/29/2001,0.0
07/30/2001,0.0
07/31/2001,0.0
08/01/2001,0.0
08/02/2001,0.0
08/03/2001,0.0
08/04/2001,2.8
08/05/2001,6.2
08/06/2001,0.0
08/07/2001,0.0
08/08/2001,2.4
08/09/2001,3.6
08/10/2001,0.0
08/11/2001,0.0
08/12/2001,0.0
08/13/2001,0.0
08/14/2001,0.0
08/15/2001,0.0
08/16/2001,0.0
08/17/2001,0.0
08/18/2001,0.0
08/19/2001,0.0
08/20/2001,8.8
08/21/2001,0.0
08/22/2001,0.0
08/23/2001,0.0
08/24/2001,0.0
08/25/2001,0.0
08/26/2001,0.0
08/27/2001,0.0
08/28/2001,0.0
08/29/2001,0.0
08/30/2001,43.8
08/31/2001,6.6
09/01/2001,17.8
09/02/2001,0.1
09/03/2001,0.0
09/04/2001,0.2
09/05/2001,0.2
09/06/2001,0.0
09/07/2001,0.0
09/08/2001,0.0
09/09/2001,0.0
09/10/2001,0.0
09/11/2001,0.0
09/12/2001,0.0
09/13/2001,0.0
09/14/2001,12.6
09/15/2001,0.2
09/16/2001,0.0
09/17/2001,0.0
09/18/2001,0.0
09/19/2001,1.0
09/20/2001,0.0
09/21/2001,0.0
09/22/2001,1.6
09/23/2001,26.8
09/24/2001,0.2
09/25/2001,2.0
09/26/2001,0.0
09/27/2001,0.0
09/28/2001,0.0
09/29/2001,1.2
09/30/2001,1.2
10/01/2001,0.0
10/02/2001,0.0
10/03/2001,0.2
10/04/2001,12.4
10/05/2001,0.2
10/06/2001,0.6
10/07/2001,5.6
10/08/2001,0.0
10/09/2001,0.0
10/10/2001,2.4
10/11/2001,0.0
10/12/2001,0.0
10/13/2001,0.0
10/14/2001,0.0
10/15/2001,0.0
10/16/2001,0.0
10/17/2001,0.0
10/18/2001,0.0
10/19/2001,0.0
10/20/2001,37.4
10/21/2001,5.2
10/22/2001,0.0
10/23/2001,0.0
10/24/2001,0.2
10/25/2001,0.0
10/26/2001,0.0
10/27/2001,0.0
10/28/2001,0.0
10/29/2001,0.0
10/30/2001,0.2
10/31/2001,0.0
11/01/2001,0.0
11/02/2001,0.0
11/03/2001,0.0
11/04/2001,0.0
11/05/2001,0.0
11/06/2001,0.0
11/07/2001,0.0
11/08/2001,0.0
11/09/2001,15.0
11/10/2001,0.2
11/11/2001,10.8
11/12/2001,1.0
11/13/2001,0.4
11/14/2001,1.4
11/15/2001,0.0
11/16/2001,0.0
11/17/2001,0.0
11/18/2001,0.0
11/19/2001,0.6
11/20/2001,0.0
11/21/2001,0.0
11/22/2001,0.0
11/23/2001,0.1
11/24/2001,0.0
11/25/2001,0.0
11/26/2001,0.4
11/27/2001,16.4
11/28/2001,0.0
11/29/2001,1.4
11/30/2001,0.0
12/01/2001,0.0
12/02/2001,0.0
12/03/2001,0.0
12/04/2001,0.0
12/05/2001,0.0
12/06/2001,0.2
12/07/2001,0.0
12/08/2001,0.0
12/09/2001,0.0
12/10/2001,0.2
12/11/2001,0.2
12/12/2001,0.0
12/13/2001,0.0
12/14/2001,0.0
12/15/2001,0.0
12/16/2001,0.0
12/17/2001,0.0
12/18/2001,0.0
12/19/2001,0.0
12/20/2001,0.0
12/21/2001,0.0
12/22/2001,0.0
12/23/2001,0.0
12/24/2001,0.0
12/25/2001,0.0
12/26/2001,0.0
12/27/2001,0.0
12/28/2001,0.0
12/29/2001,0.0
12/30/2001,0.0
12/31/2001,0.0
01/01/2002,0.0
01/02/2002,0.0
01/03/2002,0.0
01/04/2002,0.0
01/05/2002,0.0
01/06/2002,0.0
01/07/2002,0.0
01/08/2002,0.0
01/09/2002,0.0
01/10/2002,0.0
01/11/2002,0.0
01/12/2002,0.0
01/13/2002,0.0
01/14/2002,0.0
01/15/2002,0.0
01/16/2002,0.0
01/17/2002,0.0
01/18/2002,0.0
01/19/2002,0.0
01/20/2002,0.0
01/21/2002,0.0
01/22/2002,1.8
01/23/2002,10.6
01/24/2002,20.2
01/25/2002,0.2
01/26/2002,0.0
01/27/2002,0.0
01/28/2002,0.0
01/29/2002,0.0
01/30/2002,0.2
01/31/2002,0.8
02/01/2002,0.0
02/02/2002,0.0
02/03/2002,0.0
02/04/2002,0.2
02/05/2002,3.6
02/06/2002,52.0
02/07/2002,13.0
02/08/2002,0.0
02/09/2002,0.0
02/10/2002,0.0
02/11/2002,0.0
02/12/2002,0.0
02/13/2002,0.0
02/14/2002,19.0
02/15/2002,44.6
02/16/2002,23.6
02/17/2002,0.4
02/18/2002,0.2
02/19/2002,0.0
02/20/2002,0.0
